SATCAT Designation,FullName,Latitude,Longitude,Launch Log Abbreviated Designation
AFETR,"Космический центр Кеннеди, США",28.391139,-80.588343,CC
AFWTR,"База Ванденберг, США",34.4,-120.35,V
CAS,"Космопорт Гран-Канария, Испания",27.931944,-15.386667,"L-1011,GANC"
DLS,"Космодром Ясный, Россия",50.8,59.516667,YAS
ERAS,"Космодром Уоллопс, США",37.8,-75.5,WI
FRGUI,"Квианский космический центр, Гвиана",5.232,-52.776,CSG
HGSTR,"Ракетный испытательный центр Хаммагир, Алжир",30.875014,-3.065188,HMG
JSC,"Космодром Цзюцюань, Китай",40.6,99.9,JQ
KODAK,"Коммерческий космодром Кадьяк, Аляска, США",57.438136,-152.344617,KLC
KSCUT,"Космический центр Утиноура, Япония",31.2,131.1,KASC
KWAJ,"Остров Омелек, Кваджалейн",9.049117,167.743151,KMR
KYMSC,"Ракетный полигон Капустин Яр, Россия",48.4,45.8,GTsP-4
NSC,"Космический центр Наро, Республика Корея",34.431867,127.535069,NARO
PLMSC,"Космодром Плесецк, Россия",62.8,40.1,GIK-1
SEAL,"Плавучий космодром, США",0.1,-154,"ODYSSEY,KLA"
SEMLS,"Ракетный полигон Семнан, Иран",35.234722,53.920833,SEM
SNMLP,"Морской космодром Сан-Марко, Кения",-2.938333,40.2125,SMLC
SRILR,"Космический центр имени Сатиша Дхавана, Индия",13.9,80.4,SHAR
SUBL,"Мобильная стартовая платформа, Россия",74.803859,36.610515,"K-496,BLA"
SVOBO,"Космодром Свободный, Россия",51.4,128.3,GIK-2
TAISC,"Космодром Тайюань, Китай",37.5,112.6,TYSC
TANSC,"Космический центр Танэгасима, Япония",30.4,131,TNSC
TYMSC,"Космодроом Байконур, Казахстан",45.6,63.4,NIIP-5
WOMRA,"Испытательный полигон Вумера, Австралия",-31.1,136.8,WOO
XICLF,"Космодром Сичан, Китай",28.25,102,XSC
YAVNE,"Стартовый комплекс Явне, Израиль",31.5,34.5,PALB
YUN,"Ракетодром Сохэ, КНДР",39.660083,124.705306,SOHAE
,"Космодром Алкантара, Бразилия          ",-2.373056,-44.396389,ALCA
,"Космодром Тонхэ, КНДР",40.85,129.666667,TONGH
